Designator,Mid X,Mid Y,Rotation,Layer
120,146.5,-85.3,180.0,top
CAN1,164.4,-69.15,270.0,top
CAN2,164.4,-82.57125,270.0,top
ENC1,135.6,-69.15,90.0,top
ENC2,135.6,-82.55,90.0,top
ESG1,135.6,-94.8,90.0,top
EXT,145.1,-90.3,0.0,top
GSE2,164.4,-94.8,270.0,top
GSE3,145.2,-97.425,180.0,top
MCP2561,155.605,-94.9,0.0,top
TERM,155.905,-85.5,270.0,top
U2,149.8575,-72.521,0.0,top
